step,episode,loss_ddqn,loss_masac,loss_cvd,q_value_ddqn,q_overestimation_ddqn,epsilon_ddqn,epsilon_masac,reward_total,reward_agent1,reward_agent2,episode_reward,episode_length,episode_reshuffles,cubes_picked,avg_reward_100,success_rate
267,27,,,,0.048748,-60.492333,0.262278,0.131139,60.541081,16.554353,43.986728,160.126274,6,5,5,249.475292,0.970085
268,27,,,,0.092376,-8.024027,0.260967,0.130484,8.116404,8.116404,0.000000,168.242677,7,5,6,249.475292,0.970085
269,27,,,,0.028933,-9.941409,0.259662,0.129831,9.970342,9.970342,0.000000,178.213019,8,5,7,249.475292,0.970085
270,27,,,,0.128423,25.128423,0.258364,0.129182,-25.000000,-25.000000,0.000000,153.213019,9,5,7,249.475292,0.970085
271,27,,,,0.077683,-58.595779,0.257072,0.128536,58.673461,58.673461,0.000000,211.886480,10,5,8,249.475292,0.970085
272,28,,,,0.070448,-43.620169,0.255787,0.127893,43.690617,3.891932,39.798685,43.690617,1,1,1,248.083114,0.967078
273,28,,,,0.144004,-48.515248,0.254508,0.127254,48.659253,7.589798,41.069455,92.349870,2,2,2,248.083114,0.967078
274,28,,,,0.075365,1.765969,0.253235,0.126618,-1.690604,8.309396,-10.000000,90.659266,3,3,3,248.083114,0.967078
275,28,,,,0.114450,-46.443022,0.251969,0.125985,46.557473,6.987715,39.569758,137.216738,4,4,4,248.083114,0.967078
276,28,,,,0.091524,0.327727,0.250709,0.125355,-0.236204,9.763796,-10.000000,136.980535,5,5,5,248.083114,0.967078
277,28,,,,0.055789,-7.501794,0.249456,0.124728,7.557583,7.557583,0.000000,144.538117,6,5,6,248.083114,0.967078
278,28,,,,0.055044,-17.796940,0.248208,0.124104,17.851984,17.851984,0.000000,162.390101,7,5,7,248.083114,0.967078
279,28,,,,0.068829,-16.583359,0.246967,0.123484,16.652188,16.652188,0.000000,179.042289,8,5,8,248.083114,0.967078
280,28,,,,0.069521,-59.586153,0.245733,0.122866,59.655674,59.655674,0.000000,238.697963,9,5,9,248.083114,0.967078
281,29,,,,0.071248,-47.775601,0.244504,0.122252,47.846849,7.163048,40.683801,47.846849,1,1,1,247.747930,0.968254
282,29,,,,0.114334,1.731929,0.243281,0.121641,-1.617595,8.382405,-10.000000,46.229254,2,2,2,247.747930,0.968254
283,29,,,,0.081156,-47.388964,0.242065,0.121032,47.470120,7.155674,40.314446,93.699374,3,3,3,247.747930,0.968254
284,29,,,,0.084487,4.676804,0.240855,0.120427,-4.592316,5.407684,-10.000000,89.107057,4,4,4,247.747930,0.968254
285,29,,,,0.073109,-15.828786,0.239650,0.119825,15.901895,15.901895,0.000000,105.008952,5,5,5,247.747930,0.968254
286,29,,,,0.083051,-7.558476,0.238452,0.119226,7.641526,7.641526,0.000000,112.650479,6,5,6,247.747930,0.968254
287,29,,,,0.083211,-8.005293,0.237260,0.118630,8.088504,8.088504,0.000000,120.738983,7,5,7,247.747930,0.968254
288,29,,,,0.057767,-17.087304,0.236074,0.118037,17.145072,17.145072,0.000000,137.884055,8,5,8,247.747930,0.968254
289,29,,,,0.097533,-56.831827,0.234893,0.117447,56.929360,56.929360,0.000000,194.813415,9,5,9,247.747930,0.968254
290,30,,,,0.060003,-46.542638,0.233719,0.116859,46.602641,7.477306,39.125335,46.602641,1,1,1,245.922602,0.969349
291,30,,,,0.105496,-48.737281,0.232550,0.116275,48.842778,8.336594,40.506184,95.445419,2,2,2,245.922602,0.969349
292,30,,,,0.173720,-15.358962,0.231387,0.115694,15.532682,15.532682,0.000000,110.978101,3,3,3,245.922602,0.969349
293,30,,,,0.072443,-18.457764,0.230230,0.115115,18.530207,-25.000000,43.530207,129.508308,4,4,3,245.922602,0.969349
294,30,,,,0.064215,-15.898811,0.229079,0.114540,15.963026,-25.000000,40.963026,145.471334,5,5,3,245.922602,0.969349
295,30,,,,0.092164,-4.608475,0.227934,0.113967,4.700639,4.700639,0.000000,150.171972,6,5,4,245.922602,0.969349
296,30,,,,0.099212,25.099212,0.226794,0.113397,-25.000000,-25.000000,0.000000,125.171972,7,5,4,245.922602,0.969349
297,30,,,,0.080078,25.080078,0.225660,0.112830,-25.000000,-25.000000,0.000000,100.171972,8,5,4,245.922602,0.969349
298,30,,,,0.120697,-4.375550,0.224532,0.112266,4.496246,4.496246,0.000000,104.668219,9,5,5,245.922602,0.969349
299,30,,,,0.103286,25.103286,0.223409,0.111705,-25.000000,-25.000000,0.000000,79.668219,10,5,5,245.922602,0.969349
300,30,,,,0.071271,25.071271,0.222292,0.111146,-25.000000,-25.000000,0.000000,54.668219,11,5,5,245.922602,0.969349
301,30,,,,0.047546,25.047546,0.221181,0.110590,-25.000000,-25.000000,0.000000,29.668219,12,5,5,245.922602,0.969349
302,30,,,,0.076251,-7.959883,0.220075,0.110037,8.036135,8.036135,0.000000,37.704353,13,5,6,245.922602,0.969349
